Nr/ Br,Kodi i Komunes Opstinski Kod,Komuna/Opstina,Qendra e Votimit 2014 Biracki Centar 2014,Qyteti/Vendi Grad/Mesto,Lokacioni detal,Detaljna Lokacija,,
,29,Zvečan/Zveçan,2914b,Sërboveci/Srbovac,"Shkolla Fillore ""Vuk Karadžić""","Osnovna Škola ""Vuk Karadžić""","Votuesit e QV-së 2914b me rekomandim te KKZ-së, Votimi do te behet në QV 2915b","Birači BC-a 2914b na predlog OIK-a, Glasanje će se zbaviti u BC 2915b"
7,29,Zvečan/Zveçan,2915b,Graboc/Grabovac,"Shkolla Fillore ""Vuk Karadžić""","Osnovna Škola ""Vuk Karadžić""",,
1,30,Malishevë/Mališevo,3001a,Mleqane/Mlećan,"Shkolla ""Beqir Gashi""","Škola ""Beqir Gashi""",,
2,30,Malishevë/Mališevo,3008a,Llashkadrenoc/Vlaski Drenovac,"Shkolla ""Bajram Curri""","Škola ""Bajram Curri""",,
3,30,Malishevë/Mališevo,3012a,Tërpezë/Trpeza,"Shkolla ""Hasan Prishtina""","Škola ""Hasan Prishtina""",,
4,30,Malishevë/Mališevo,3013a,Panorc/Ponorac,"Shkolla ""Asim Vokshi""","Škola ""Asim Vokshi""",,
5,30,Malishevë/Mališevo,3014a,Fshati i Ri/Novosela,"Shkolla ""Rifat Berisha""","Škola ""Rifat Berisha""",,
6,30,Malishevë/Mališevo,3016a,Malishevë/Mališevo,"Shkolla e Mesme ""Hamdi Berisha""","Škola ""Hamdi Berisha""",,
7,30,Malishevë/Mališevo,3017a,Pagarushë/Pagaruša,"Shkolla ""Vesel Pagarusha""","Škola ""Vesel Pagarusha""",,
8,30,Malishevë/Mališevo,3018a,Astrazub/Ostrozub,"Shkolla ""Ganimete Terbeshi""","Škola ""Ganimete Terbeshi""",,
9,30,Malishevë/Mališevo,3019a,Damanek/Domanek,"Shkolla ""Ramadan Morina""","Škola ""Ramadan Morina""",,
10,30,Malishevë/Mališevo,3020a,Lubizhdë/Ljubižda,"Shkolla ""Migjeni""","Škola ""Migjeni""",,
11,30,Malishevë/Mališevo,3028a,Bellanicë/Belanica,"Shkolla ""Ismail Qemajli""","Škola ""Ismail Qemajli""",,
12,30,Malishevë/Mališevo,3029a,Guncat/Nguncat,"Shkolla ""Dëshmoret e Kombit""","Škola ""Dëshmoret e Kombit""",,
13,30,Malishevë/Mališevo,3030a,Seniku/Senik,"Shkolla ""Gjergj Fishta""","Škola ""Gjergj Fishta""",,
14,30,Malishevë/Mališevo,3031a,Lladroc/Ladrovac,"Shkolla ""Afrim Buqaj""","Škola ""Afrim Buqaj""",,
15,30,Malishevë/Mališevo,3032a,Banjë/Banja,"Shkolla ""Naim Frashëri""","Škola ""Naim Frashëri""",,
16,30,Malishevë/Mališevo,3033a,Shkozë/Milanović,"Shkolla ""Salih Bytyqi""","Škola ""Salih Bytyqi""",,
17,30,Malishevë/Mališevo,3034a,Kievë/Kijevo,"Shkolla Mesme ""Lasgush Poradeci""","Škola ""Lasgush Poradeci""",,
18,30,Malishevë/Mališevo,3035a,Llazica/Lozica,"Shkolla Fillore ""Gjergj Kastrioti""","Osnovna Škola ""Gjergj Kastrioti""",,
19,30,Malishevë/Mališevo,3036a,Carraluka/Crni Lug,"Shkolla Fillore ""Hilmi Hoti""","Osnovna Škola ""Hilmi Hoti""",,
20,30,Malishevë/Mališevo,3037a,Lapceva/Labucevo,"Shkolla Fillore ""Petro Nino Luarasi""","Osnovna Škola ""Petro Nino Luarasi""",,
21,30,Malishevë/Mališevo,3038a,Carravranë,"Shkolla Fillore ""Habib Berisha""","Osnovna Škola ""Habib Berisha""",,
22,30,Malishevë/Mališevo,3039a,Kravasari/Kravoserija,"Shkolla Fillore ""28 Nëntori""","Osnovna Škola ""28 Nëntori""",,
23,30,Malishevë/Mališevo,3040a,Dragobil/Dragobil,"Shkolla Fillore ""Emin Duraku""","Osnovna Škola ""Emin Duraku""",,
24,30,Malishevë/Mališevo,3041a,Temeqine/Tumicina,"Shkolla Fillore ""Ismet Jashari- Kumanova""","Osnovna Škola ""Ismet Jashari- Kumanova""",,
25,30,Malishevë/Mališevo,3042a,Bubavec/Bobovac,"Shkolla Fillore ""Deshmoret e fshatit""","Osnovna Škola ""Deshmoret e fshatit""",,
26,30,Malishevë/Mališevo,3043a,Balinca/Balince,"Shkolla Fillore ""Tafil Kelmendi""","Osnovna Škola ""Tafil Kelmendi""",,
27,30,Malishevë/Mališevo,3044a,Golluboc/Golubovac,"Shkolla Fillore ""Kajtaz Ramadani""","Osnovna Škola ""Kajtaz Ramadani""",,
28,30,Malishevë/Mališevo,3045a,Ladrovici/Ladrovic,"Shkolla Fillore ""Afrim Krasniqi""","Osnovna Škola ""Afrim Krasniqi""",,
29,30,Malishevë/Mališevo,3046a,Turjake/Turjak,"Shkolla Fillore ""Fehmi Agani""","Osnovna Škola ""Fehmi Agani""",,
30,30,Malishevë/Mališevo,3047a,Maraliu/Marali,"Shkolla Fillore ""Ruzhdi Xhyliqi""","Osnovna skola""Ruzhdi Xhyliqi""",,
31,30,Malishevë/Mališevo,3048a,Guriq/Goriq,"Shkolla Fillore ""Nuhi Mazreku""","Osnovna skola "" Nuhi Mazreku""",,
32,30,Malishevë/Mališevo,3049a,Burim/Joviq,"Shkolla Fillore ""18 Prilli""","Osnovna skola""18 Prilli""",,
33,30,Malishevë/Mališevo,3050a,Vermicë/Vermica,"Shkolla Fillore ""Gjergj Kastrioti""","Osnovna skola ""Gjergj Kastrioti""",,
34,30,Malishevë/Mališevo,3051a,Mirushë/Mirusa,"Shkolla Fillore ""Labinot Krasniqi""","Osnovna skola ""Labinot Krasniqi""",,
35,30,Malishevë/Mališevo,3052a,Carrallukë/Crni Lug,"Shkolla Fillore ""Imer Krasniqi""","Osnovna skola"" Imer Krasniqi""",,
1,31,Junik/Junik,3101c,Junik/Junik,"Shkolla Fillore ""Edmond Hoxha""","Osnovna Škol ""Edmond Hoxha""",,
1,32,Mamushe/Mamusha,3201a,Mamushë/Mamuša,"Shkolla Fillore ""Haxhi Ymer Lytfi""","Osnovna Škola ""Haxhi Ymer Lytfi""",,
1,33,Hani i Elezit/ Elez Han,3301d,Hani i Elezit/Elez Han,"Shkolla Fillore ""Ilaz Thaçi""","Osnovna Škola ""Ilaz Thaçi""",,
2,33,Hani i Elezit/ Elez Han,3302d,Palaj/Paldenica,"Shkolla Fillore ""Kështjella e Diturisë""","Osnovna Škola ""Kështjella e Diturisë""",,
3,33,Hani i Elezit/ Elez Han,3303d,Gorancë/Gorance,"Shkolla Fillore ""Veli Ballazhi""","Osnovna Škola ""Veli Ballazhi""",,
4,33,Hani i Elezit/ Elez Han,3304d,Seçishte/Seciste,"Shkolla Fillore ""Ilaz Thaçi""","Osnovna Škola ""Ilaz Thaçi""",,
1,34,Gracanica/Gracanice,3401e,Gracanice/Gracanica,"Shkolla ""Kralj Milutin""","Škola ""Kralj Milutin""",,
2,34,Gracanica/Gracanice,3402e,Llaplaselle/Laplje Selo,"Shkolla ""Miladin Mitić""","Škola ""Miladin Mitić""",,
3,34,Gracanica/Gracanice,3403e,Batushe/Batusa,"Shkolla ""Vuk Karadzic""","Škola ""Vuk Karadzić""",,
4,34,Gracanica/Gracanice,3404e,Uglare/Ugljare,"Shkolla ""Uglare""","Škola ""Ugljare""",,
5,34,Gracanica/Gracanice,3405e,Gushterice e Ulet/Donja Gusterica,"Shkolla ""Knez Lazar""","Škola ""Knez Lazar""",,
6,34,Gracanica/Gracanice,3406e,Lepi/Lepinje,"Shkolla ""Vuk Karadžić""","Škola ""Vuk Karadžić""",,
7,34,Gracanica/Gracanice,3412e,Cagllavice/Cagllavica,"Shtepi Private Pronari ""Ljubomir Stanojević""","Privatna Kuća vlasnik - ""Ljubomir Stanojević""",,
8,34,Gracanica/Gracanice,3413e,Gracanice/Gracanica,"Shkolla Private ""Ranko Zdravkovic""","Privatna Škola ""Zdravkovic Ranko""",,
9,34,Gracanica/Gracanice,3414e,Cagllavice/Cagllavica,"Shkolla Fillore ""Miladin Mitic""","Osnovna Škola ""Miladin Mitić""",,
10,34,Gracanica/Gracanice,3415e,Kishnicë/Kišnica,Shtëpia e Kulturës,Dom Kulture,,
1,35,Ranilluk/Ranillug,3501d,Ropotove e Madhe / Veliko Ropotovo,Shtëpia e Kulturës,Dom Kulture,,
2,35,Ranilluk/Ranillug,3502d,Ranillug/Ranilluk,Shtëpia e Kulturës,Dom Kulture,,
3,35,Ranilluk/Ranillug,3503d,Domoroci/Domorovce,Shtëpia e Kulturës,Dom Kulture,,
4,35,Ranilluk/Ranillug,3504d,Korminjan i Ultë/Donje Korminjane,Shtepia e Kulturës,Dom Kulture,,
1,36,Partes/Partesh,3601d,Budrige e Poshtme/Donja Budrige,"Shkolla Fillore ""Dositej Obradović""","Osnovna Škola ""Dositej Obradović""",,
2,36,Partes/Partesh,3602d,Partesh/Partesh,Shtëpia e Kultures,Dom Kulture,,
3,36,Partes/Partesh,3603d,Pasjan/Pasjane,"Shkolla Fillore ""Miladin Popovic""","Osnovna Škola ""Miladin Popovic""",,
1,37,Kllokot/Klokot,3701d,Kllokot/Kllokot,"Shkolla Fillore ""Sveti Sava""","Osnovna Škola ""Sveti Sava""",,
2,37,Kllokot/Klokot,3702d,Mogille/Mogila,"Shkolla ""Marko Rajković""/""Gjon Sereçi""","Škola ""Marko Rajković""/""Gjon Sereçi""",,
3,37,Kllokot/Klokot,3703d,Verboc/Verbovac,"Shkolla ""Marko Rajković""/""Gjon Sereçi""","Škola ""Marko Rajković""/""Gjon Sereçi""",,
4,37,Kllokot/Klokot,3704d,Mogille/Mogila,"Shkolla Fillore "" Gjon Sereci""","Osnovna Škola "" Gjon Sereci""",,
5,37,Kllokot/Klokot,3705d,Kllokot/Kllokot,Banja Termike e Kllokotit (villa park),Termićka Banja Klokot (villa park),,
1,38,Mitrovica e Veriut / Severna Mitrovica,3801b,Suhadoll i Ultë/Donje Suhadol,"P.N ""Aziz Sylejmani""","P.N.""Sylejmani""",,
2,38,Mitrovica e Veriut / Severna Mitrovica,3802b,Lagja e Boshnjakeve,Zyra Administrative,Administrativna Kancelarija,,
3,38,Mitrovica e Veriut / Severna Mitrovica,3803b,Kodra e Minatorëve,"Shkolla ""Aziz Sylejmani""","Škola ""Aziz Sylejmani""",,
4,38,Mitrovica e Veriut / Severna Mitrovica,3804b,Suhadoll i Epërm/Gornje Suhadol,"Shkolla Fillore ""Sveti Sava"" P.N","Osnovna Škola ""Sveti Sava"" P.N",,
5,38,Mitrovica e Veriut / Severna Mitrovica,3805b,Mitrovica e Veriut / Severna Mitrovica,"Shkolla Fillore ""Sveti Sava""","Osnovna Škola ""Sveti Sava""",,
6,38,Mitrovica e Veriut / Severna Mitrovica,3805x,Mitrovica e Veriut / Severna Mitrovica,Shkolla Teknike,Tehnićka Škola,,
7,38,Mitrovica e Veriut / Severna Mitrovica,3806b,Mitrovica e Veriut / Severna Mitrovica,Shkolla e Mesme e Mjekësisë,Srednja medicinska skola,,
Totali i Qendrave te Votimit 2014/Ukupno Birackih Centara 2014: 798,,,,,,,,
